run,fixture,prompt,run_no,ac,kind,flagged_title,flagged_state,quote,adjudication,reason,effect_on_verdict
04-contradictory__plain__01.md,04-contradictory,plain,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead The Vast of Night (2019); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
04-contradictory__plain__02.md,04-contradictory,plain,02,AC4,novelty-against-state,Aftersun,loved,"ing apart rather than explaining him. Fits the shape of what got Arrival and Aftersun a ""loved"" from you, and you haven't told me you've seen it. A couple of other directions, moving further out from that: - **If you want it even quieter and more hu",dismissed,"the novelty claim belongs to the offered film The Man Who Fell to Earth (1976), which this run's snapshot does not hold. Aftersun is named beside it as evidence with its state (loved) stated correctly.",none — flag does not stand
04-contradictory__plain__02.md,04-contradictory,plain,02,AC4,novelty-against-state,Arrival,loved,"ing apart rather than explaining him. Fits the shape of what got Arrival and Aftersun a ""loved"" from you, and you haven't told me you've seen it. A couple of other directions, moving further out from that: - **If you want it even quieter and more hu",dismissed,"the novelty claim belongs to the offered film The Man Who Fell to Earth (1976), which this run's snapshot does not hold. Arrival is named beside it as evidence with its state (loved) stated correctly.",none — flag does not stand
04-contradictory__plain__04.md,04-contradictory,plain,04,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Never Let Me Go (2010); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
04-contradictory__taste-explicit__02.md,04-contradictory,taste-explicit,02,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Another Earth (2011); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
04-contradictory__taste-explicit__03.md,04-contradictory,taste-explicit,03,AC1,unconditional-items,,,1 of 3 items open on a condition,dismissed,"lead Under the Skin (2013); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
04-contradictory__taste-explicit__04.md,04-contradictory,taste-explicit,04,AC1,commitment-cue-count,,,2 commitment cues,dismissed,"lead Never Let Me Go (2010); the extra cue opens the idea for the evening or restates the same lead, so exactly one film is committed to.",none — flag does not stand
04-contradictory__taste-explicit__05.md,04-contradictory,taste-explicit,05,AC1,unconditional-items,,,0 of 2 items open on a condition,dismissed,"lead Ex Machina (2014); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__01.md,05-exclusion-explicit,taste-explicit-named-mix,01,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Memories of Murder (2003); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__01.md,05-exclusion-explicit,taste-explicit-named-mix,01,AC4,novelty-against-state,Zodiac,liked,"dead ends, and it keeps you exactly a step behind the way you like. It sits right next to Zodiac in feel but you haven't told me you've seen it. From there: - **Closer to the lead** — *The Guilty* (2018): one room, one phone line, dread built entire",dismissed,"the novelty claim belongs to the offered film Memories of Murder (2003), which this run's snapshot does not hold. Zodiac is named beside it as evidence with its state (liked) stated correctly.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__02.md,05-exclusion-explicit,taste-explicit-named-mix,02,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Insomnia (2002); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__03.md,05-exclusion-explicit,taste-explicit-named-mix,03,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Memories of Murder (2003); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__04.md,05-exclusion-explicit,taste-explicit-named-mix,04,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead Take Shelter (2011); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
05-exclusion-explicit__taste-explicit-named-mix__05.md,05-exclusion-explicit,taste-explicit-named-mix,05,AC4,novelty-against-state,The Vanishing,loved,"g gory, and it never explains itself faster than you can follow. Fits both Clever Thriller and Slow Burn, and you haven't told me you've seen it. - If you want something closer to *The Vanishing*'s abduction-dread but just as clean of violence: **The",dismissed,"the novelty claim belongs to the offered film Memories of Murder (2003), which this run's snapshot does not hold. The Vanishing is named beside it as evidence with its state (loved) stated correctly.",none — flag does not stand
06-exclusion-plain__unrelated-plain__01.md,06-exclusion-plain,unrelated-plain,01,AC1,unconditional-items,,,2 of 3 items open on a condition,dismissed,"lead Terrifier 2 (2022); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
08-failure-ordinary__plain__02.md,08-failure-ordinary,plain,02,AC1,unconditional-items,,,0 of 3 items open on a condition,dismissed,"lead The Nice Guys (2016); every direction opens on its distance from the lead (""closer"", ""a step further"", ""furthest""), which states when it wins in a position the counter does not read. Shape is intact.",none — flag does not stand
08-failure-ordinary__plain__03.md,08-failure-ordinary,plain,03,AC1,commitment-cue-count,,,2 commitment cues,dismissed,"lead Prisoners (2013); the extra cue opens the idea for the evening or restates the same lead, so exactly one film is committed to.",none — flag does not stand
08-failure-ordinary__plain__05.md,08-failure-ordinary,plain,05,AC1,commitment-cue-count,,,2 commitment cues,dismissed,"lead Prisoners (2013); the extra cue opens the idea for the evening or restates the same lead, so exactly one film is committed to.",none — flag does not stand
